N,Mode,MergeMethod,SortMethod,Slots,Time,Threads
1000000,parallel,gather,sequential,1,9.049354076385498,
1000000,parallel,gather,threaded,1,10.39698839187622,1.0
1000000,parallel,gather,threaded,1,10.549617290496826,2.0
1000000,parallel,gather,threaded,1,11.074284553527832,4.0
1000000,parallel,hierarchical,sequential,1,9.052886962890625,
1000000,parallel,hierarchical,threaded,1,10.33751106262207,1.0
1000000,parallel,hierarchical,threaded,1,10.465225219726562,2.0
1000000,parallel,hierarchical,threaded,1,11.092980861663818,4.0
1000000,parallel,gather,sequential,2,5.7385382652282715,
1000000,parallel,gather,threaded,2,6.404057502746582,1.0
1000000,parallel,gather,threaded,2,6.462003946304321,2.0
1000000,parallel,gather,threaded,2,6.9281768798828125,4.0
1000000,parallel,hierarchical,sequential,2,5.647360801696777,
1000000,parallel,hierarchical,threaded,2,6.459924221038818,1.0
1000000,parallel,hierarchical,threaded,2,6.573976039886475,2.0
1000000,parallel,hierarchical,threaded,2,7.025359153747559,4.0
1000000,parallel,gather,sequential,3,4.681931018829346,
1000000,parallel,gather,threaded,3,5.037154674530029,1.0
1000000,parallel,gather,threaded,3,4.39326548576355,2.0
1000000,parallel,gather,threaded,3,4.790310859680176,4.0
1000000,parallel,hierarchical,sequential,3,4.520003795623779,
1000000,parallel,hierarchical,threaded,3,4.52004075050354,1.0
1000000,parallel,hierarchical,threaded,3,4.548232316970825,2.0
1000000,parallel,hierarchical,threaded,3,4.900274991989136,4.0
1000000,parallel,gather,sequential,4,4.546486854553223,
1000000,parallel,gather,threaded,4,4.442610025405884,1.0
1000000,parallel,gather,threaded,4,4.609165668487549,2.0
1000000,parallel,gather,threaded,4,4.944501638412476,4.0
1000000,parallel,hierarchical,sequential,4,4.034552335739136,
1000000,parallel,hierarchical,threaded,4,4.138743877410889,1.0
1000000,parallel,hierarchical,threaded,4,4.212893962860107,2.0
1000000,parallel,hierarchical,threaded,4,4.587407350540161,4.0
1000000,parallel,gather,sequential,5,4.300137519836426,
1000000,parallel,gather,threaded,5,4.085387468338013,1.0
1000000,parallel,gather,threaded,5,4.213606834411621,2.0
1000000,parallel,gather,threaded,5,4.601967811584473,4.0
1000000,parallel,hierarchical,sequential,5,3.8326618671417236,
1000000,parallel,hierarchical,threaded,5,3.684276580810547,1.0
1000000,parallel,hierarchical,threaded,5,4.035448789596558,2.0
1000000,parallel,hierarchical,threaded,5,4.422228574752808,4.0
1000000,parallel,gather,sequential,6,3.924144983291626,
1000000,parallel,gather,threaded,6,4.040651321411133,1.0
1000000,parallel,gather,threaded,6,4.152581453323364,2.0
1000000,parallel,gather,threaded,6,4.560994863510132,4.0
1000000,parallel,hierarchical,sequential,6,3.365072727203369,
1000000,parallel,hierarchical,threaded,6,3.157808542251587,1.0
1000000,parallel,hierarchical,threaded,6,3.5269243717193604,2.0
1000000,parallel,hierarchical,threaded,6,3.8947484493255615,4.0
1000000,parallel,gather,sequential,7,4.136664152145386,
1000000,parallel,gather,threaded,7,4.035884380340576,1.0
1000000,parallel,gather,threaded,7,4.025226593017578,2.0
1000000,parallel,gather,threaded,7,4.427184820175171,4.0
1000000,parallel,hierarchical,sequential,7,3.353973150253296,
1000000,parallel,hierarchical,threaded,7,3.069206476211548,1.0
1000000,parallel,hierarchical,threaded,7,3.0820682048797607,2.0
1000000,parallel,hierarchical,threaded,7,3.460952043533325,4.0
1000000,parallel,gather,sequential,8,4.018484354019165,
1000000,parallel,gather,threaded,8,4.392461776733398,1.0
1000000,parallel,gather,threaded,8,4.2640540599823,2.0
1000000,parallel,gather,threaded,8,4.638171195983887,4.0
1000000,parallel,hierarchical,sequential,8,2.888279914855957,
1000000,parallel,hierarchical,threaded,8,2.941328287124634,1.0
1000000,parallel,hierarchical,threaded,8,2.837705135345459,2.0
1000000,parallel,hierarchical,threaded,8,3.2523014545440674,4.0
1000000,parallel,gather,sequential,9,4.974425554275513,
1000000,parallel,gather,threaded,9,4.730798721313477,1.0
1000000,parallel,gather,threaded,9,5.233698129653931,2.0
1000000,parallel,gather,threaded,9,5.71122670173645,4.0
1000000,parallel,hierarchical,sequential,9,3.6975924968719482,
1000000,parallel,hierarchical,threaded,9,3.312856435775757,1.0
1000000,parallel,hierarchical,threaded,9,3.460460662841797,2.0
1000000,parallel,hierarchical,threaded,9,4.058319330215454,4.0
1000000,parallel,gather,sequential,10,5.003570079803467,
1000000,parallel,gather,threaded,10,5.138709545135498,1.0
1000000,parallel,gather,threaded,10,5.2317187786102295,2.0
1000000,parallel,gather,threaded,10,6.005814552307129,4.0
1000000,parallel,hierarchical,sequential,10,3.6284019947052,
1000000,parallel,hierarchical,threaded,10,3.6577563285827637,1.0
1000000,parallel,hierarchical,threaded,10,3.690403461456299,2.0
1000000,parallel,hierarchical,threaded,10,3.879561185836792,4.0
1000000,parallel,gather,sequential,11,5.204392433166504,
1000000,parallel,gather,threaded,11,5.560024261474609,1.0
