N,Mode,Time,Slots,MergeMethod,SortMethod,Threads
10,sequential,9.274482727050781e-05,23,,,
10,parallel,0.03515219688415527,23,gather,sequential,
10,parallel,0.1780548095703125,23,gather,threaded,1.0
10,parallel,0.5699357986450195,23,gather,threaded,2.0
10,parallel,1.2429003715515137,23,gather,threaded,4.0
10,parallel,0.032790184020996094,23,hierarchical,sequential,
10,parallel,0.4749164581298828,23,hierarchical,threaded,1.0
10,parallel,0.17132568359375,23,hierarchical,threaded,2.0
10,parallel,1.475346565246582,23,hierarchical,threaded,4.0
100,sequential,0.0010709762573242188,23,,,
100,parallel,0.03522968292236328,23,gather,sequential,
100,parallel,0.47837018966674805,23,gather,threaded,1.0
100,parallel,1.689030408859253,23,gather,threaded,2.0
100,parallel,1.0326173305511475,23,gather,threaded,4.0
100,parallel,0.03179049491882324,23,hierarchical,sequential,
100,parallel,0.19350147247314453,23,hierarchical,threaded,1.0
100,parallel,0.17334532737731934,23,hierarchical,threaded,2.0
100,parallel,1.0154635906219482,23,hierarchical,threaded,4.0
1000,sequential,0.010052204132080078,23,,,
1000,parallel,0.0370633602142334,23,gather,sequential,
1000,parallel,0.19585299491882324,23,gather,threaded,1.0
1000,parallel,0.17410564422607422,23,gather,threaded,2.0
1000,parallel,0.7945430278778076,23,gather,threaded,4.0
1000,parallel,0.02370476722717285,23,hierarchical,sequential,
1000,parallel,0.1126866340637207,23,hierarchical,threaded,1.0
1000,parallel,0.17283248901367188,23,hierarchical,threaded,2.0
1000,parallel,1.0759904384613037,23,hierarchical,threaded,4.0
10000,sequential,0.1264173984527588,23,,,
10000,parallel,0.1454617977142334,23,gather,sequential,
10000,parallel,0.1988675594329834,23,gather,threaded,1.0
10000,parallel,0.25534725189208984,23,gather,threaded,2.0
10000,parallel,0.9837784767150879,23,gather,threaded,4.0
10000,parallel,0.06349992752075195,23,hierarchical,sequential,
10000,parallel,0.24294066429138184,23,hierarchical,threaded,1.0
10000,parallel,0.21759271621704102,23,hierarchical,threaded,2.0
10000,parallel,0.7621169090270996,23,hierarchical,threaded,4.0
100000,sequential,1.0566463470458984,23,,,
100000,parallel,0.770310640335083,23,gather,sequential,
100000,parallel,1.0974435806274414,23,gather,threaded,1.0
100000,parallel,0.9918673038482666,23,gather,threaded,2.0
100000,parallel,1.6658432483673096,23,gather,threaded,4.0
100000,parallel,0.3318948745727539,23,hierarchical,sequential,
100000,parallel,0.32567358016967773,23,hierarchical,threaded,1.0
100000,parallel,0.4044656753540039,23,hierarchical,threaded,2.0
100000,parallel,1.0231709480285645,23,hierarchical,threaded,4.0
1000000,sequential,12.006197690963745,23,,,
1000000,parallel,7.464213609695435,23,gather,sequential,
1000000,parallel,8.183151960372925,23,gather,threaded,1.0
1000000,parallel,8.698168516159058,23,gather,threaded,2.0
1000000,parallel,11.817907333374023,23,gather,threaded,4.0
1000000,parallel,2.5234766006469727,23,hierarchical,sequential,
1000000,parallel,2.4335432052612305,23,hierarchical,threaded,1.0
