N,Mode,Time,MergeMethod,SortMethod,Threads
10,sequential,0.0,,,
10,parallel,0.02893543243408203,gather,sequential,
10,parallel,0.23029875755310059,gather,threaded,1.0
10,parallel,0.21482563018798828,gather,threaded,2.0
10,parallel,0.7772631645202637,gather,threaded,4.0
10,parallel,0.057280778884887695,hierarchical,sequential,
10,parallel,0.09305644035339355,hierarchical,threaded,1.0
10,parallel,0.17637348175048828,hierarchical,threaded,2.0
10,parallel,0.7850339412689209,hierarchical,threaded,4.0
100,sequential,0.0,,,
100,parallel,0.022594928741455078,gather,sequential,
100,parallel,0.10146665573120117,gather,threaded,1.0
100,parallel,0.18616437911987305,gather,threaded,2.0
100,parallel,0.771876335144043,gather,threaded,4.0
100,parallel,0.029667139053344727,hierarchical,sequential,
100,parallel,0.11030387878417969,hierarchical,threaded,1.0
100,parallel,0.17636513710021973,hierarchical,threaded,2.0
100,parallel,0.7549080848693848,hierarchical,threaded,4.0
1000,sequential,0.0,,,
1000,parallel,0.03265571594238281,gather,sequential,
1000,parallel,0.1551055908203125,gather,threaded,1.0
1000,parallel,0.18596363067626953,gather,threaded,2.0
1000,parallel,0.7737586498260498,gather,threaded,4.0
1000,parallel,0.026990652084350586,hierarchical,sequential,
1000,parallel,0.1125783920288086,hierarchical,threaded,1.0
1000,parallel,0.17978143692016602,hierarchical,threaded,2.0
1000,parallel,0.8112313747406006,hierarchical,threaded,4.0
10000,sequential,0.0,,,
10000,parallel,0.13996529579162598,gather,sequential,
10000,parallel,0.20684528350830078,gather,threaded,1.0
10000,parallel,0.261796236038208,gather,threaded,2.0
10000,parallel,0.844412088394165,gather,threaded,4.0
10000,parallel,0.041519880294799805,hierarchical,sequential,
10000,parallel,0.11533951759338379,hierarchical,threaded,1.0
10000,parallel,0.20287656784057617,hierarchical,threaded,2.0
10000,parallel,0.7807402610778809,hierarchical,threaded,4.0
100000,sequential,0.0,,,
100000,parallel,1.2045695781707764,gather,sequential,
100000,parallel,0.9588594436645508,gather,threaded,1.0
100000,parallel,1.4788479804992676,gather,threaded,2.0
100000,parallel,1.5584266185760498,gather,threaded,4.0
100000,parallel,0.2761199474334717,hierarchical,sequential,
100000,parallel,0.3604445457458496,hierarchical,threaded,1.0
100000,parallel,0.48589253425598145,hierarchical,threaded,2.0
100000,parallel,0.9147639274597168,hierarchical,threaded,4.0
1000000,sequential,0.0,,,
1000000,parallel,7.815291404724121,gather,sequential,
1000000,parallel,8.69989538192749,gather,threaded,1.0
1000000,parallel,8.752888441085815,gather,threaded,2.0
1000000,parallel,9.868088245391846,gather,threaded,4.0
1000000,parallel,2.449093818664551,hierarchical,sequential,
1000000,parallel,2.650665283203125,hierarchical,threaded,1.0
1000000,parallel,2.7900550365448,hierarchical,threaded,2.0
1000000,parallel,3.296527862548828,hierarchical,threaded,4.0
