N,Mode,Time,MergeMethod,SortMethod,Threads
10,sequential,0.0,,,
10,parallel,0.04364633560180664,gather,sequential,
10,parallel,0.1685478687286377,gather,threaded,1.0
10,parallel,0.1313643455505371,gather,threaded,2.0
10,parallel,0.47342538833618164,gather,threaded,4.0
10,parallel,0.0706179141998291,hierarchical,sequential,
10,parallel,0.0820918083190918,hierarchical,threaded,1.0
10,parallel,0.12668180465698242,hierarchical,threaded,2.0
10,parallel,0.46112751960754395,hierarchical,threaded,4.0
100,sequential,0.0,,,
100,parallel,0.058441162109375,gather,sequential,
100,parallel,0.08211922645568848,gather,threaded,1.0
100,parallel,0.1238245964050293,gather,threaded,2.0
100,parallel,0.48564767837524414,gather,threaded,4.0
100,parallel,0.045409202575683594,hierarchical,sequential,
100,parallel,0.08118653297424316,hierarchical,threaded,1.0
100,parallel,0.13020730018615723,hierarchical,threaded,2.0
100,parallel,0.4716060161590576,hierarchical,threaded,4.0
1000,sequential,0.0,,,
1000,parallel,0.03945612907409668,gather,sequential,
1000,parallel,0.06971359252929688,gather,threaded,1.0
1000,parallel,0.10820555686950684,gather,threaded,2.0
1000,parallel,0.4642500877380371,gather,threaded,4.0
1000,parallel,0.030832290649414062,hierarchical,sequential,
1000,parallel,0.06855201721191406,hierarchical,threaded,1.0
1000,parallel,0.11313772201538086,hierarchical,threaded,2.0
1000,parallel,0.4935026168823242,hierarchical,threaded,4.0
10000,sequential,0.0,,,
10000,parallel,0.0958547592163086,gather,sequential,
10000,parallel,0.13948440551757812,gather,threaded,1.0
10000,parallel,0.20374345779418945,gather,threaded,2.0
10000,parallel,0.5544497966766357,gather,threaded,4.0
10000,parallel,0.05052447319030762,hierarchical,sequential,
10000,parallel,0.08526110649108887,hierarchical,threaded,1.0
10000,parallel,0.11342430114746094,hierarchical,threaded,2.0
10000,parallel,0.46948838233947754,hierarchical,threaded,4.0
100000,sequential,0.0,,,
100000,parallel,0.5596294403076172,gather,sequential,
100000,parallel,0.6238775253295898,gather,threaded,1.0
100000,parallel,0.686577558517456,gather,threaded,2.0
100000,parallel,1.0463459491729736,gather,threaded,4.0
100000,parallel,0.2826805114746094,hierarchical,sequential,
100000,parallel,0.29971981048583984,hierarchical,threaded,1.0
100000,parallel,0.3174018859863281,hierarchical,threaded,2.0
100000,parallel,0.7031238079071045,hierarchical,threaded,4.0
1000000,sequential,0.0,,,
1000000,parallel,5.150300025939941,gather,sequential,
1000000,parallel,5.328275918960571,gather,threaded,1.0
1000000,parallel,5.344435930252075,gather,threaded,2.0
1000000,parallel,5.709797382354736,gather,threaded,4.0
1000000,parallel,2.0549299716949463,hierarchical,sequential,
1000000,parallel,2.0628855228424072,hierarchical,threaded,1.0
1000000,parallel,2.080451488494873,hierarchical,threaded,2.0
1000000,parallel,2.4262654781341553,hierarchical,threaded,4.0
